Chargement du dataset CelebA...
Je charge 202599 images depuis data/celeba/img_align_celeba/

============================================================
DÉMARRAGE DE L'ENTRAÎNEMENT DU GAN
============================================================

Créations des modèless
Générateur : 2,733,507 paramètres
Discriminateur : 1,045,633 paramètres

Optimiseurs Adam :
  - Générateur : lr=0.0001, beta_1=0.5, beta_2=0.999
  - Discriminateur : lr=0.0002, beta_1=0.5, beta_2=0.999

Configuration :
  - Epochs : 1000
  - Batch size : 128
  - Image size : 64x64
  - Noise dim : 100
  - Save interval : 100

============================================================
DÉBUT DE L'ENTRAÎNEMENT
============================================================

Epoch 00068 |`G Loss: 1.8520 | D Loss: 0.7824 | Time: 18.87s
Epoch 00069 |`G Loss: 1.8147 | D Loss: 0.6690 | Time: 18.41s
Epoch 00070 |`G Loss: 2.3988 | D Loss: 0.7187 | Time: 18.43s
Epoch 00071 |`G Loss: 1.7971 | D Loss: 0.8061 | Time: 18.38s
Epoch 00072 |`G Loss: 2.6066 | D Loss: 0.7264 | Time: 18.49s
Epoch 00073 |`G Loss: 2.2325 | D Loss: 0.6685 | Time: 18.45s
Epoch 00074 |`G Loss: 2.2101 | D Loss: 0.6897 | Time: 18.40s
Epoch 00075 |`G Loss: 2.0848 | D Loss: 0.8885 | Time: 18.64s
Epoch 00076 |`G Loss: 2.0757 | D Loss: 0.5522 | Time: 18.63s
Epoch 00077 |`G Loss: 2.5051 | D Loss: 0.5049 | Time: 18.44s
Epoch 00078 |`G Loss: 3.0208 | D Loss: 0.7522 | Time: 19.39s
Epoch 00079 |`G Loss: 2.1934 | D Loss: 0.5931 | Time: 19.91s
Epoch 00080 |`G Loss: 2.3144 | D Loss: 0.8742 | Time: 19.05s
Epoch 00081 |`G Loss: 3.0219 | D Loss: 0.6834 | Time: 18.37s
Epoch 00082 |`G Loss: 2.4332 | D Loss: 0.5261 | Time: 18.29s
Epoch 00083 |`G Loss: 2.3413 | D Loss: 0.5117 | Time: 18.48s
Epoch 00084 |`G Loss: 0.9220 | D Loss: 1.4446 | Time: 18.46s
Epoch 00085 |`G Loss: 2.2235 | D Loss: 0.6122 | Time: 18.57s
Epoch 00086 |`G Loss: 2.1563 | D Loss: 0.6365 | Time: 18.31s
Epoch 00087 |`G Loss: 2.5540 | D Loss: 0.4357 | Time: 18.37s
Epoch 00088 |`G Loss: 2.6829 | D Loss: 0.6270 | Time: 18.37s
Epoch 00089 |`G Loss: 3.4921 | D Loss: 0.5441 | Time: 18.91s
Epoch 00090 |`G Loss: 3.4354 | D Loss: 0.5621 | Time: 18.36s
Epoch 00091 |`G Loss: 2.4779 | D Loss: 0.7392 | Time: 19.21s
Epoch 00092 |`G Loss: 2.8060 | D Loss: 0.5572 | Time: 19.17s
Epoch 00093 |`G Loss: 2.6575 | D Loss: 0.5533 | Time: 18.38s
Epoch 00094 |`G Loss: 2.7689 | D Loss: 0.3886 | Time: 18.14s
Epoch 00095 |`G Loss: 2.9988 | D Loss: 0.5454 | Time: 18.31s
Epoch 00096 |`G Loss: 2.8877 | D Loss: 0.4619 | Time: 18.34s
Epoch 00097 |`G Loss: 2.4079 | D Loss: 0.5100 | Time: 18.41s
Epoch 00098 |`G Loss: 2.7851 | D Loss: 0.5054 | Time: 18.47s
Epoch 00099 |`G Loss: 3.7767 | D Loss: 0.3726 | Time: 18.80s
Epoch 00100 |`G Loss: 3.1615 | D Loss: 0.6000 | Time: 18.50s

============================================================
SAUVEGARDE - Epoch 100
============================================================
Images générées sauvegardées
============================================================

/usr/local/lib/python3.11/dist-packages/keras/src/engine/training.py:3079: UserWarning: You are saving your model as an HDF5 file via `model.save()`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')`.
  saving_api.save_model(
WARNING:tensorflow:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
WARNING:tensorflow:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
Modèles sauvegardés (epoch 100)
Epoch 00101 |`G Loss: 2.7039 | D Loss: 0.4401 | Time: 18.87s
Epoch 00102 |`G Loss: 2.7593 | D Loss: 0.4397 | Time: 18.44s
Epoch 00103 |`G Loss: 4.4210 | D Loss: 1.0609 | Time: 18.23s
Epoch 00104 |`G Loss: 2.3974 | D Loss: 0.6112 | Time: 18.33s
Epoch 00105 |`G Loss: 2.9944 | D Loss: 0.4605 | Time: 18.28s
Epoch 00106 |`G Loss: 2.9765 | D Loss: 0.4320 | Time: 18.39s
Epoch 00107 |`G Loss: 2.9343 | D Loss: 0.4703 | Time: 18.41s
Epoch 00108 |`G Loss: 3.4393 | D Loss: 0.4381 | Time: 18.68s
Epoch 00109 |`G Loss: 2.4493 | D Loss: 0.3582 | Time: 19.07s
Epoch 00110 |`G Loss: 2.7827 | D Loss: 0.4125 | Time: 19.67s
Epoch 00111 |`G Loss: 3.0368 | D Loss: 0.4056 | Time: 18.76s
Epoch 00112 |`G Loss: 3.0116 | D Loss: 0.3200 | Time: 18.24s
Epoch 00113 |`G Loss: 3.9895 | D Loss: 0.4073 | Time: 18.41s
Epoch 00114 |`G Loss: 2.3626 | D Loss: 0.5060 | Time: 18.37s
Epoch 00115 |`G Loss: 2.8441 | D Loss: 0.4553 | Time: 18.38s
Epoch 00116 |`G Loss: 4.0964 | D Loss: 0.4491 | Time: 18.49s
Epoch 00117 |`G Loss: 2.7219 | D Loss: 0.4584 | Time: 18.39s
Epoch 00118 |`G Loss: 3.1344 | D Loss: 0.3617 | Time: 18.42s
Epoch 00119 |`G Loss: 3.2686 | D Loss: 0.3900 | Time: 18.69s
Epoch 00120 |`G Loss: 2.9723 | D Loss: 0.2712 | Time: 18.41s
Epoch 00121 |`G Loss: 3.2896 | D Loss: 0.3815 | Time: 18.36s
Epoch 00122 |`G Loss: 3.5194 | D Loss: 0.3689 | Time: 18.51s
Epoch 00123 |`G Loss: 3.0815 | D Loss: 0.4202 | Time: 18.34s
Epoch 00124 |`G Loss: 2.8889 | D Loss: 0.4047 | Time: 18.40s
Epoch 00125 |`G Loss: 3.2850 | D Loss: 0.3632 | Time: 18.41s
Epoch 00126 |`G Loss: 2.9483 | D Loss: 0.3970 | Time: 18.33s
Epoch 00127 |`G Loss: 4.2947 | D Loss: 0.5103 | Time: 18.38s
Epoch 00128 |`G Loss: 3.4168 | D Loss: 0.4079 | Time: 18.78s
Epoch 00129 |`G Loss: 3.0275 | D Loss: 0.6680 | Time: 18.51s
Epoch 00130 |`G Loss: 3.8987 | D Loss: 0.3405 | Time: 18.84s
Epoch 00131 |`G Loss: 3.7793 | D Loss: 0.3855 | Time: 19.60s
Epoch 00132 |`G Loss: 3.5839 | D Loss: 0.3614 | Time: 18.45s
Epoch 00133 |`G Loss: 4.4504 | D Loss: 0.4083 | Time: 18.11s
Epoch 00134 |`G Loss: 3.6367 | D Loss: 0.3896 | Time: 18.23s
Epoch 00135 |`G Loss: 3.8150 | D Loss: 0.2895 | Time: 18.24s
Epoch 00136 |`G Loss: 4.2211 | D Loss: 0.4130 | Time: 18.27s
Epoch 00137 |`G Loss: 4.5201 | D Loss: 0.4072 | Time: 18.37s
Epoch 00138 |`G Loss: 3.8646 | D Loss: 0.3967 | Time: 18.45s
Epoch 00139 |`G Loss: 4.0385 | D Loss: 0.4159 | Time: 18.37s
Epoch 00140 |`G Loss: 3.6037 | D Loss: 0.4336 | Time: 18.36s
Epoch 00141 |`G Loss: 3.5151 | D Loss: 0.3072 | Time: 18.40s
Epoch 00142 |`G Loss: 3.7548 | D Loss: 0.2254 | Time: 18.36s
Epoch 00143 |`G Loss: 3.3971 | D Loss: 0.2366 | Time: 18.36s
Epoch 00144 |`G Loss: 3.5121 | D Loss: 0.3264 | Time: 18.34s
Epoch 00145 |`G Loss: 5.0198 | D Loss: 0.6656 | Time: 18.32s
Epoch 00146 |`G Loss: 4.1200 | D Loss: 0.2934 | Time: 18.40s
Epoch 00147 |`G Loss: 3.5084 | D Loss: 0.6014 | Time: 18.34s
Epoch 00148 |`G Loss: 4.0696 | D Loss: 0.4235 | Time: 18.50s
Epoch 00149 |`G Loss: 3.2210 | D Loss: 0.3197 | Time: 18.40s
Epoch 00150 |`G Loss: 3.8470 | D Loss: 0.2612 | Time: 18.81s
Epoch 00151 |`G Loss: 4.7547 | D Loss: 0.3563 | Time: 18.60s
Epoch 00152 |`G Loss: 4.5646 | D Loss: 0.3857 | Time: 19.05s
Epoch 00153 |`G Loss: 4.4490 | D Loss: 0.2809 | Time: 19.93s
Epoch 00154 |`G Loss: 3.6354 | D Loss: 0.4372 | Time: 18.51s
Epoch 00155 |`G Loss: 4.3661 | D Loss: 0.3122 | Time: 18.23s
Epoch 00156 |`G Loss: 4.4478 | D Loss: 0.3311 | Time: 18.32s
Epoch 00157 |`G Loss: 3.4805 | D Loss: 0.2866 | Time: 18.24s
Epoch 00158 |`G Loss: 3.6217 | D Loss: 0.2779 | Time: 18.45s
Epoch 00159 |`G Loss: 4.1582 | D Loss: 0.2624 | Time: 18.46s
Epoch 00160 |`G Loss: 3.4855 | D Loss: 0.2427 | Time: 18.69s
Epoch 00161 |`G Loss: 3.5917 | D Loss: 0.3892 | Time: 18.72s
Epoch 00162 |`G Loss: 3.5977 | D Loss: 0.2560 | Time: 19.54s
